,fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1_score,train_f1_score
0,0.5886609554290771,0.07895493507385254,0.940149625935162,0.945818282856349,0.940149625935162,0.945818282856349,0.940149625935162,0.945818282856349,0.940149625935162,0.945818282856349
1,0.5566787719726562,0.08495187759399414,0.9251870324189526,0.9491525423728814,0.9251870324189526,0.9491525423728814,0.9251870324189526,0.9491525423728814,0.9251870324189526,0.9491525423728814
2,0.6216425895690918,0.10793876647949219,0.9526184538653366,0.9472075576549042,0.9526184538653366,0.9472075576549042,0.9526184538653366,0.9472075576549042,0.9526184538653366,0.9472075576549042
3,0.7715568542480469,0.12792658805847168,0.9576059850374065,0.9480411225340373,0.9576059850374065,0.9480411225340373,0.9576059850374065,0.9480411225340373,0.9576059850374065,0.9480411225340373
4,0.6496260166168213,0.09594559669494629,0.9476309226932669,0.9474854126146152,0.9476309226932669,0.9474854126146152,0.9476309226932669,0.9474854126146152,0.9476309226932669,0.9474854126146152
5,0.6366338729858398,0.20588159561157227,0.949874686716792,0.946126076089975,0.949874686716792,0.946126076089975,0.949874686716792,0.946126076089975,0.949874686716792,0.946126076089975
6,0.5836646556854248,0.08395242691040039,0.9448621553884712,0.9480699805609553,0.9448621553884712,0.9480699805609553,0.9448621553884712,0.9480699805609553,0.9448621553884712,0.9480699805609553
7,0.701596736907959,0.08195352554321289,0.9573934837092731,0.9466814773673979,0.9573934837092731,0.9466814773673979,0.9573934837092731,0.9466814773673979,0.9573934837092731,0.9466814773673979
8,0.5533862113952637,0.059648752212524414,0.9523809523809523,0.9472368786448209,0.9523809523809523,0.9472368786448209,0.9523809523809523,0.9472368786448209,0.9523809523809523,0.9472368786448209
9,0.5363965034484863,0.057649850845336914,0.9298245614035088,0.9477922799222438,0.9298245614035088,0.9477922799222438,0.9298245614035088,0.9477922799222438,0.9298245614035088,0.9477922799222438
