,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1_score
0,0.4096262454986572,0.1382884979248047,0.9675,0.9675,0.9675,0.9675
1,0.4050145149230957,0.11809659004211426,0.95,0.95,0.95,0.9500000000000001
2,0.2859680652618408,0.11853551864624023,0.9625,0.9625,0.9625,0.9625000000000001
3,0.29335784912109375,0.13727903366088867,0.9675,0.9675,0.9675,0.9675
4,0.4149489402770996,0.12858152389526367,0.965,0.965,0.965,0.965
5,0.30521583557128906,0.14716029167175293,0.965,0.965,0.965,0.965
6,0.3283355236053467,0.14019107818603516,0.98,0.98,0.98,0.98
7,0.4684782028198242,0.0937204360961914,0.9825,0.9825,0.9825,0.9825
8,0.39702582359313965,0.0894010066986084,0.975,0.975,0.975,0.975
9,0.40637969970703125,0.08131957054138184,0.97,0.97,0.97,0.97
