,Multi-level Perceptron,Decision Tree,KNN,Random Forest
fit_time,3.835544764995575,0.027476370334625244,0.004746496677398682,0.2700974941253662
score_time,0.01624077558517456,0.00524747371673584,0.2126278281211853,0.10193902254104614
test_accuracy,0.9715029325117766,0.9630056552629243,0.9799999514968374,0.8847564667677948
train_accuracy,0.9753357153156702,0.9822502172779303,1.0,0.8862504126667965
test_precision,0.9715029325117766,0.9630056552629243,0.9799999514968374,0.8847564667677948
train_precision,0.9753357153156702,0.9822502172779303,1.0,0.8862504126667965
test_recall,0.9715029325117766,0.9630056552629243,0.9799999514968374,0.8847564667677948
train_recall,0.9753357153156702,0.9822502172779303,1.0,0.8862504126667965
test_f1_score,0.9715029325117766,0.9630056552629243,0.9799999514968374,0.8847564667677947
train_f1_score,0.9753357153156702,0.9822502172779303,1.0,0.8862504126667965
